brt-stripe,100G,176320,99,938227,60,308903,33,165220,99,780501,33,3039.3,4,256,69804,97,211728,99,52195,82,79262,97,206334,99,47798,81
brt-stripe_log_mirror,100G,176523,99,938688,57,308930,33,166388,99,802897,33,3452.0,6,256,68957,96,211474,99,51995,81,79248,97,205198,99,47114,80
brt-stripe_log_mirror_cache2,100G,175854,99,930516,60,309153,33,165425,99,814814,34,4853.7,7,256,69808,97,212611,99,49897,80,77902,97,187343,99,47431,80
brt-stripe_log_cache,100G,175991,99,940488,60,312110,33,165630,99,833109,35,4254.5,6,256,68468,97,212891,99,50992,81,77444,97,198455,100,47688,81
brt-raidz,100G,169922,97,580655,41,229980,24,163748,99,496760,21,1313.8,2,256,68781,97,216247,99,57994,90,78807,96,210223,99,55287,89
brt-raidz_log_mirror,100G,169819,97,594905,41,231936,24,163984,99,490872,21,1449.1,2,256,67580,97,214383,99,58192,91,78287,97,205528,99,56338,91
brt-raidz_log_mirror_cache2,100G,168988,97,593575,42,231014,23,163383,99,497693,21,2278.1,4,256,69346,97,210766,99,55702,89,77688,98,199118,99,55628,91
brt-raidz_log_cache,100G,171982,97,596723,41,229627,24,157444,99,497025,21,2819.1,4,256,66666,95,209487,99,57803,90,77170,97,198028,99,54464,89
brt-raidz2,100G,169895,97,596635,42,228868,23,163722,99,493581,21,1360.1,2,256,66334,94,209997,99,57675,90,77933,97,197977,100,54857,89
brt-raidz2_log_mirror,100G,172202,97,597160,41,225317,23,163905,99,485327,21,1661.1,3,256,68033,97,214723,99,58226,91,77645,97,206447,99,55271,89
brt-raidz2_log_mirror_cache2,100G,169116,97,603401,42,230965,23,163822,99,504091,22,2215.4,3,256,68089,97,197471,97,58204,91,77360,97,199933,99,56007,91
brt-raidz2_log_cache,100G,169373,97,594354,42,230580,23,162618,99,496759,21,2463.6,4,256,65576,95,213929,99,57058,91,76613,97,183752,97,54874,90
brt-mirstr,100G,172488,99,469953,32,206849,19,165995,99,616206,24,2602.1,4,256,67068,97,214241,99,55981,86,77415,97,200859,99,53105,86
brt-mirstr_log_mirror,100G,172395,99,468422,32,204975,18,166048,99,612238,24,2026.8,3,256,67970,97,204736,99,54850,85,77874,97,176261,97,52773,86
brt-mirstr_log_mirror_cache2,100G,172291,99,470549,32,206425,19,164676,99,618828,24,3366.6,5,256,67556,96,211103,99,55814,86,77687,97,199277,99,54954,88
brt-mirstr_log_cache,100G,174617,99,470271,32,204987,19,165626,99,615986,24,3863.5,5,256,67647,97,207537,99,55035,86,77307,97,196819,99,53079,86
brt-mirror,100G,170401,99,227711,18,119240,10,165671,99,419422,16,1623.8,2,256,65664,97,211376,99,61212,93,74995,96,198782,99,58359,93
brt-mirror_log_mirror,100G,172762,99,228216,18,120725,10,162253,99,414730,16,1945.9,4,256,67057,97,211713,99,60789,93,75588,97,204691,99,57595,92
brt-mirror_log_mirror_cache2,100G,172489,99,228433,18,120682,10,165517,99,416210,16,3606.4,5,256,67020,97,210283,100,60566,93,75487,97,195886,99,58789,94
brt-mirror_log_cache,100G,170367,99,228207,18,120937,10,165711,99,417165,16,3397.9,4,256,67638,97,213400,99,61514,93,75451,96,198000,99,59008,94
